machine learning trainer start

Train on domain data, test on woz single class: Accuracy=150/300=50% Precision=100% Recall=50% F1=67% timePerSample=0[ms]

Train on domain data, test on woz multi class: Accuracy=12/100=12% Precision=98% Recall=36% F1=53% timePerSample=0[ms]

Train on grammar data, test on woz single class: Accuracy=75/300=25% Precision=99% Recall=25% F1=40% timePerSample=0[ms]

Train on grammar data, test on woz multi class: Accuracy=5/100=5% Precision=92% Recall=4% F1=8% timePerSample=0[ms]

Train on woz single class, test on woz multi class: Accuracy=40/100=40% Precision=99% Recall=48% F1=65% timePerSample=0[ms]

Train on woz multi class, test on woz single class: Accuracy=230/300=77% Precision=83% Recall=92% F1=87% timePerSample=0[ms]

Train on mixed, test on mixed: Accuracy=140/200=70% Precision=93% Recall=79% F1=85% timePerSample=0[ms]

Train on mixed, test on mixed (2): Accuracy=141/200=71% Precision=95% Recall=79% F1=86% timePerSample=0[ms]

start 5-fold cross-validation on 45 grammar samples and 400 collected samples
partition #0: 1 [ms]
partition #1: 654 [ms]
partition #2: 1320 [ms]
partition #3: 1972 [ms]
partition #4: 2626 [ms]

end 5-fold cross-validation: 3291 [ms]

MACRO AVERAGE SUMMARY: Accuracy=57/80=72% Precision=98% Recall=74% F1=84% timePerSample=0[ms]

MICRO AVERAGE SUMMARY: Accuracy=286/400=72% Precision=98% Recall=74% F1=84% timePerSample=8[ms]

start training on 445 samples
end training on 445 samples, 754 [ms]

test on training data:
	I offer a pension of 10 percent: expected {"Offer": {"Pension Fund": "10%"}} but got 
	I offer a pension of 20 percent: expected {"Offer": {"Pension Fund": "20%"}} but got 
	I offer a monthly salary of 7 thousand NIS: expected {"Offer": {"Salary": "7,000 NIS"}} but got 
	I offer a monthly salary of 12 thousand NIS: expected {"Offer": {"Salary": "12,000 NIS"}} but got 
	I offer a monthly salary of 20 thousand NIS: expected {"Offer": {"Salary": "20,000 NIS"}} but got 
	I offer a company car: expected {"Offer": {"Leased Car": "With leased car"}} but got 
	I offer a position as a project manager: expected {"Offer": {"Job Description": "Project Manager"}} but got 
	I do not offer a company car: expected {"Offer": {"Leased Car": "Without leased car"}} but got 
	I offer no agreement about the salary: expected {"Offer": {"Salary": "No agreement"}} but got 
	I offer no agreement about the job description: expected {"Offer": {"Job Description": "No agreement"}} but got 
	I offer no agreement about the pension fund: expected {"Offer": {"Pension Fund": "No agreement"}} but got 
	I offer no agreement about the company car: expected {"Offer": {"Leased Car": "No agreement"}} but got 
	I offer no agreement about the promotion track: expected {"Offer": {"Promotion Possibilities": "No agreement"}} but got 
	I offer no agreement about the working hours: expected {"Offer": {"Working Hours": "No agreement"}} but got 
	I accept your previous offer: expected {"Accept": "previous"} but got 
	I accept your offer about the salary: expected {"Accept": "Salary"} but got 
	I accept your offer about the job description: expected {"Accept": "Job Description"} but got 
	I accept your offer about the pension fund: expected {"Accept": "Pension Fund"} but got 
	I accept your offer about the company car: expected {"Accept": "Leased Car"} but got 
	I accept your offer about the promotion track: expected {"Accept": "Promotion Possibilities"} but got 
	I accept your offer about the working hours: expected {"Accept": "Working Hours"} but got 
	I reject your previous offer: expected {"Reject": "previous"} but got 
	I reject your offer about the salary: expected {"Reject": "Salary"} but got 
	I reject your offer about the job description: expected {"Reject": "Job Description"} but got 
	I reject your offer about the pension fund: expected {"Reject": "Pension Fund"} but got 
