machine learning trainer start

Train on grammar, test on new data: Accuracy=15/115=13% HammingGain=341/482=68% Precision=90% Recall=77% F1=83% timePerSample=5[ms]
Train on grammar-single1, test on new data: Accuracy=60/115=52% HammingGain=399/494=79% Precision=89% Recall=90% F1=89% timePerSample=6[ms]
Train on grammar-single1-multi2, test on new data: Accuracy=66/115=57% HammingGain=412/483=84% Precision=91% Recall=93% F1=92% timePerSample=6[ms]
Train on grammar-single1-multi1-multi2, test on new data: Accuracy=61/115=53% HammingGain=409/500=80% Precision=88% Recall=92% F1=90% timePerSample=6[ms]
Train on grammar data, test on woz single class: Accuracy=207/298=69% HammingGain=220/327=64% Precision=88% Recall=74% F1=80% timePerSample=1[ms]
Train on grammar data, test on woz multi class: Accuracy=14/99=14% HammingGain=219/333=63% Precision=88% Recall=72% F1=79% timePerSample=4[ms]
Train on woz single class, test on woz multi class: Accuracy=79/99=80% HammingGain=297/319=93% Precision=95% Recall=98% F1=96% timePerSample=3[ms]
Train on woz multi class, test on woz single class: Accuracy=221/298=74% HammingGain=296/391=68% Precision=76% Recall=99% F1=86% timePerSample=1[ms]
Train on mixed, test on mixed: Accuracy=151/198=76% HammingGain=290/351=80% Precision=88% Recall=93% F1=90% timePerSample=1[ms]
Train on mixed, test on mixed (2): Accuracy=157/199=79% HammingGain=259/322=78% Precision=89% Recall=89% F1=89% timePerSample=1[ms]

start 3-fold cross-validation on 56 grammar samples and 555 collected samples
partition #0: 1 [ms]
partition #1: 3664 [ms]
partition #2: 7351 [ms]

end 3-fold cross-validation: 11035 [ms]

MICRO AVERAGE SUMMARY: Accuracy=390/555=70% HammingGain=842/1082=74% Precision=85% Recall=90% F1=88% timePerSample=20[ms]

Building classifier for Employer

start training on 611 samples
end training on 611 samples, 4433 [ms]

test on training data:
	"I offer no agreement about the salary": expected {"Offer":{"Salary":"No agreement"}} but got 
	"I offer no agreement about the job description": expected {"Offer":{"Job Description":"No agreement"}} but got 
	"I offer no agreement about the pension fund": expected {"Offer":{"Pension Fund":"No agreement"}} but got 
	"I offer no agreement about the company car": expected {"Offer":{"Leased Car":"No agreement"}} but got 
	"I offer no agreement about the promotion track": expected {"Offer":{"Promotion Possibilities":"No agreement"}} but got 
	"I offer no agreement about the working hours": expected {"Offer":{"Working Hours":"No agreement"}} but got 
	"I accept your offer about the salary": expected {"Accept":"Salary"} but got {"Accept":"previous"}
	"I accept your offer about the job description": expected {"Accept":"Job Description"} but got {"Accept":"previous"}
	"I accept your offer about the pension fund": expected {"Accept":"Pension Fund"} but got {"Accept":"previous"}
	"I accept your offer about the company car": expected {"Accept":"Leased Car"} but got {"Accept":"previous"},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}}
	"I accept your offer about the promotion track": expected {"Accept":"Promotion Possibilities"} but got {"Accept":"previous"}
	"I accept your offer about the working hours": expected {"Accept":"Working Hours"} but got {"Accept":"previous"}
	"I reject your offer about the salary": expected {"Reject":"Salary"} but got {"Reject":"previous"}
	"I reject your offer about the job description": expected {"Reject":"Job Description"} but got {"Reject":"previous"}
	"I reject your offer about the pension fund": expected {"Reject":"Pension Fund"} but got {"Reject":"previous"}
	"I reject your offer about the company car": expected {"Reject":"Leased Car"} but got {"Reject":"previous"}
	"I reject your offer about the promotion track": expected {"Reject":"Promotion Possibilities"} but got {"Reject":"previous"}
	"I reject your offer about the working hours": expected {"Reject":"Working Hours"} but got {"Reject":"previous"}
	"I insist on my offer about the salary": expected {"Insist":"Salary"} but got {"Insist":"previous"}
	"I insist on my offer about the job description": expected {"Insist":"Job Description"} but got {"Insist":"previous"}
	"I insist on my offer about the pension fund": expected {"Insist":"Pension Fund"} but got {"Insist":"previous"}
